Brutto,Steuersatz,Steuer,Netto,Soll/Haben-Kennzeichen,Belegfeld1,Datum,Auftragsnummer,Konto,"Gegenkonto (ohne BU-Schluessel)","Kd. Name","Zusatzinforamtion - Art 1","Zusatzinformation - Inhalt 1"
"60,72","19,00","9,70","51,03",S,I570,08.08.2018,I573,236,8401,"Kötter Werbung",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"14,53","19,00","2,32","12,21",S,I571,08.08.2018,I575,355,8401,"JvN Promotion Inh. M. Close",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"441,18","19,00","70,44","370,74",S,I572,08.08.2018,I576,416,8401,"Grafik Workshop GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"45,82","19,00","7,32","38,50",S,I573,08.08.2018,I578,81,8401,"Großbild & Messetechnik Siebertz",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"50,41","19,00","8,05","42,36",S,I574,08.08.2018,I579,355,8401,"JvN Promotion Inh. M. Close",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"48,50","19,00","7,74","40,76",S,I575,13.08.2018,I574,355,8401,"JvN Promotion Inh. M. Close",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"47,83","19,00","7,64","40,19",S,I576,13.08.2018,I580,35,8401,"SIGNTEC Leit- und Informationssysteme GmbH",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"56,53","19,00","9,03","47,50",S,I577,13.08.2018,I582,416,8401,"Grafik Workshop GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"36,53","19,00","5,83","30,70",S,I578,13.08.2018,I577,65,8401,"Hanse Schilder + Design GbR",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"605,48","19,00","96,67","508,81",S,I579,14.08.2018,I584,416,8401,"Grafik Workshop GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"134,35","19,00","21,45","112,90",S,I580,16.08.2018,I583,35,8401,"SIGNTEC Leit- und Informationssysteme GmbH",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"83,84","19,00","13,39","70,45",S,I581,16.08.2018,I585,415,8401,"Werbetechnik König",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"243,16","19,00","38,82","204,34",S,I582,20.08.2018,I581,266,8401,"Werbestudio Wölfl",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"36,00","19,00","5,75","30,25",S,I583,21.08.2018,I586,112,8401,"Gerling Werbetechnik GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"36,30","19,00","5,80","30,50",S,I584,23.08.2018,I572,282,8401,"Herbie Werbung",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"160,23","19,00","25,58","134,65",S,I585,23.08.2018,I587,254,8401,"König GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"44,81","0,00","0,00","44,81",S,I586,23.08.2018,I588,247,8401,"GOA.Gaigg Werbung Thomas Gaigg",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"94,84","19,00","15,14","79,70",S,I587,27.08.2018,I589,148,8401,"maingraphix GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"21,51","19,00","3,43","18,08",S,I588,29.08.2018,I590,60,8401,"Kammerer Druck & Medien GmbH & CO. KG",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"497,93","19,00","79,50","418,43",S,I589,29.08.2018,I591,148,8401,"maingraphix GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
