Brutto,Steuersatz,Steuer,Netto,Soll/Haben-Kennzeichen,Belegfeld1,Datum,Auftragsnummer,Konto,"Gegenkonto (ohne BU-Schluessel)","Kd. Name","Zusatzinforamtion - Art 1","Zusatzinformation - Inhalt 1"
"68,52","19,00","10,94","57,58",S,I648,03.12.2018,I650,35,8401,"SIGNTEC Leit- und Informationssysteme GmbH",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"46,99","19,00","7,50","39,49",S,I649,03.12.2018,I651,424,8401,wörrleindesign,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"86,37","19,00","13,79","72,58",S,I650,04.12.2018,I652,164,8401,"Ruprecht Werbetechnik, Siebdruck & Lackierung e.K.",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"79,66","19,00","12,72","66,94",S,I651,05.12.2018,I653,80,8401,"Maler GmbH Drei Schilde",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"268,48","19,00","42,87","225,61",S,I652,05.12.2018,I655,355,8401,"JvN Promotion Inh. M. Close",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"27,87","19,00","4,45","23,42",S,I653,05.12.2018,I656,355,8401,"JvN Promotion Inh. M. Close",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"34,06","19,00","5,44","28,62",S,I654,07.12.2018,I654,282,8401,"Herbie Werbung",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"63,05","19,00","10,07","52,98",S,I655,10.12.2018,I657,258,8401,"Druckerei Andreas Kögler e.K.",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"163,39","19,00","26,09","137,30",S,I656,12.12.2018,I658,399,8401,WERBEwerkstatt,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"39,43","19,00","6,30","33,14",S,I657,13.12.2018,I659,60,8401,"Kammerer Druck & Medien GmbH & CO. KG",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"175,79","19,00","28,07","147,73",S,I658,13.12.2018,I660,236,8401,"Kötter Werbung",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"64,88","19,00","10,36","54,53",S,I659,14.12.2018,I661,411,8401,"WerbeStudio Schnurer",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"80,37","19,00","12,83","67,54",S,I660,14.12.2018,I663,96,8401,"Westra-Druck KG",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"117,29","19,00","18,73","98,56",S,I661,17.12.2018,I662,27,8401,"Selmair SignGrafiks",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"218,35","19,00","34,86","183,49",S,I662,17.12.2018,I664,164,8401,"Ruprecht Werbetechnik, Siebdruck & Lackierung e.K.",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"66,06","19,00","10,55","55,51",S,I663,18.12.2018,I665,355,8401,"JvN Promotion Inh. M. Close",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"447,44","19,00","71,44","376,00",S,I664,20.12.2018,I666,334,8401,"Schnappauf Schilder- und Lichtreklamehersteller-Meisterbetrieb",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"88,11","19,00","14,07","74,04",S,I665,20.12.2018,I667,65,8401,"Hanse Schilder + Design GbR",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"79,57","19,00","12,70","66,86",S,I666,20.12.2018,I668,399,8401,WERBEwerkstatt,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"51,74","19,00","8,26","43,48",S,I667,21.12.2018,I669,355,8401,"JvN Promotion Inh. M. Close",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
