Brutto,Steuersatz,Steuer,Netto,Soll/Haben-Kennzeichen,Belegfeld1,Datum,Auftragsnummer,Konto,"Gegenkonto (ohne BU-Schluessel)","Kd. Name","Zusatzinforamtion - Art 1","Zusatzinformation - Inhalt 1"
"28,92","19,00","4,62","24,30",S,I625,05.11.2018,I627,300,8401,"GK Werbetechnik Gerg und Kern GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"158,19","19,00","25,26","132,93",S,I626,05.11.2018,I628,236,8401,"Kötter Werbung",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"168,61","19,00","26,92","141,69",S,I627,05.11.2018,I629,65,8401,"Hanse Schilder + Design GbR",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"45,74","19,00","7,30","38,44",S,I628,07.11.2018,I630,258,8401,"Druckerei Andreas Kögler e.K.",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"25,89","19,00","4,13","21,76",S,I629,07.11.2018,I632,416,8401,"Grafik Workshop GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"995,81","19,00","159,00","836,82",S,I630,08.11.2018,I631,112,8401,"Gerling Werbetechnik GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"66,50","19,00","10,62","55,88",S,I631,08.11.2018,I633,60,8401,"Kammerer Druck & Medien GmbH & CO. KG",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"80,66","19,00","12,88","67,78",S,I632,09.11.2018,I634,399,8401,WERBEwerkstatt,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"33,89","19,00","5,41","28,48",S,I633,12.11.2018,I637,257,8401,"WERBEPART OHG",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"310,25","19,00","49,54","260,72",S,I634,12.11.2018,I636,360,8401,"Baumann GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"68,69","19,00","10,97","57,72",S,I635,13.11.2018,I635,333,8401,"Kies Werbung GbR",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"125,99","19,00","20,12","105,87",S,I636,14.11.2018,I638,112,8401,"Gerling Werbetechnik GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"28,54","19,00","4,56","23,98",S,I637,15.11.2018,I639,148,8401,"maingraphix GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"40,97","19,00","6,54","34,43",S,I638,16.11.2018,I640,30,8401,"Outcome Werbung GmbH",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"140,55","19,00","22,44","118,11",S,I639,16.11.2018,I641,399,8401,WERBEwerkstatt,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"102,55","19,00","16,37","86,18",S,I640,19.11.2018,I642,355,8401,"JvN Promotion Inh. M. Close",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"138,29","19,00","22,08","116,21",S,I641,21.11.2018,I643,254,8401,"König GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"55,94","19,00","8,93","47,01",S,I642,21.11.2018,I644,258,8401,"Druckerei Andreas Kögler e.K.",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"136,32","19,00","21,77","114,55",S,I643,22.11.2018,I645,360,8401,"Baumann GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"125,53","19,00","20,04","105,49",S,I644,26.11.2018,I646,364,8401,"WMP werbemittelpunkt.com GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"58,54","19,00","9,35","49,19",S,I645,27.11.2018,I647,333,8401,"Kies Werbung GbR",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"87,80","19,00","14,02","73,78",S,I646,28.11.2018,I648,254,8401,"König GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"33,80","19,00","5,40","28,40",S,I647,28.11.2018,I649,300,8401,"GK Werbetechnik Gerg und Kern GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
