Brutto,Steuersatz,Steuer,Netto,Soll/Haben-Kennzeichen,Belegfeld1,Datum,Auftragsnummer,Konto,"Gegenkonto (ohne BU-Schluessel)","Kd. Name","Zusatzinforamtion - Art 1","Zusatzinformation - Inhalt 1"
"284,99","19,00","45,50","239,49",S,I607,04.10.2018,I609,148,8401,"maingraphix GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"128,30","19,00","20,49","107,82",S,I608,04.10.2018,I610,112,8401,"Gerling Werbetechnik GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"83,67","19,00","13,36","70,31",S,I609,08.10.2018,I612,364,8401,"WMP werbemittelpunkt.com GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"947,07","19,00","151,21","795,85",S,I610,08.10.2018,I613,164,8401,"Ruprecht Werbetechnik, Siebdruck & Lackierung e.K.",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"54,32","19,00","8,67","45,65",S,I611,08.10.2018,I614,65,8401,"Hanse Schilder + Design GbR",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"43,07","19,00","6,88","36,19",S,I612,10.10.2018,I615,248,8401,DMP-Druckerei,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"39,13","19,00","6,25","32,88",S,I613,12.10.2018,I616,399,8401,WERBEwerkstatt,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"104,53","19,00","16,69","87,84",S,I614,15.10.2018,I617,65,8401,"Hanse Schilder + Design GbR",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"41,44","19,00","6,62","34,82",S,I615,18.10.2018,I619,43,8401,"werbung plagge",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"149,02","19,00","23,79","125,23",S,I616,19.10.2018,I618,416,8401,"Grafik Workshop GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"698,53","19,00","111,53","587,00",S,I617,19.10.2018,I622,148,8401,"maingraphix GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"56,39","19,00","9,00","47,39",S,I618,19.10.2018,I621,35,8401,"SIGNTEC Leit- und Informationssysteme GmbH",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"271,84","19,00","43,40","228,44",S,I619,22.10.2018,I611,28,8401,"mediastudio Ansbach",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"189,67","19,00","30,28","159,39",S,I620,22.10.2018,I620,164,8401,"Ruprecht Werbetechnik, Siebdruck & Lackierung e.K.",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"225,29","19,00","35,97","189,32",S,I621,23.10.2018,I623,402,8401,"Vogel Werbetechnik",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"187,39","19,00","29,92","157,47",S,I622,24.10.2018,I624,364,8401,"WMP werbemittelpunkt.com GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"26,77","19,00","4,27","22,49",S,I623,25.10.2018,I625,411,8401,"WerbeStudio Schnurer",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"109,50","19,00","17,48","92,02",S,I624,25.10.2018,I626,26,8401,"Der Werbeshop",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
