Brutto,Steuersatz,Steuer,Netto,Soll/Haben-Kennzeichen,Belegfeld1,Datum,Auftragsnummer,Konto,"Gegenkonto (ohne BU-Schluessel)","Kd. Name","Zusatzinforamtion - Art 1","Zusatzinformation - Inhalt 1"
"258,73","19,00","41,31","217,42",S,I590,06.09.2018,I592,164,8401,"Ruprecht Werbetechnik, Siebdruck & Lackierung e.K.",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"70,17","19,00","11,20","58,97",S,I591,10.09.2018,I593,35,8401,"SIGNTEC Leit- und Informationssysteme GmbH",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"72,90","19,00","11,64","61,26",S,I592,11.09.2018,I594,246,8401,"Die Schriftenmacher Kratzer GmbH & Co.KG",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"86,94","19,00","13,88","73,06",S,I593,12.09.2018,I595,26,8401,"Der Werbeshop",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"102,58","19,00","16,38","86,20",S,I594,18.09.2018,I598,414,8401,"Hellfeier Marketing Affairs GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"26,47","19,00","4,23","22,24",S,I595,19.09.2018,I597,65,8401,"Hanse Schilder + Design GbR",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"383,13","19,00","61,17","321,96",S,I596,19.09.2018,I599,26,8401,"Der Werbeshop",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"101,14","19,00","16,15","84,99",S,I597,19.09.2018,I596,31,8401,"JOOS Werbung und Dekoration",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"38,70","19,00","6,18","32,52",S,I598,19.09.2018,I601,112,8401,"Gerling Werbetechnik GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"434,02","19,00","69,30","364,72",S,I599,20.09.2018,I600,367,8401,"Knoll + Langohr Maschinenbau GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"51,61","19,00","8,24","43,37",S,I600,20.09.2018,I602,416,8401,"Grafik Workshop GmbH",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"14,81","19,00","2,36","12,45",S,I601,21.09.2018,I603,60,8401,"Kammerer Druck & Medien GmbH & CO. KG",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"127,44","19,00","20,35","107,09",S,I602,25.09.2018,I606,390,8401,createc-beschriftungen,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"57,45","19,00","9,17","48,27",S,I603,26.09.2018,I604,411,8401,"WerbeStudio Schnurer",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"87,48","19,00","13,97","73,51",S,I604,26.09.2018,I607,35,8401,"SIGNTEC Leit- und Informationssysteme GmbH",Zahlungsbedingung,"8 Tage 2%, 30 Tage netto"
"69,85","19,00","11,15","58,70",S,I605,27.09.2018,I605,248,8401,DMP-Druckerei,Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
"48,05","19,00","7,67","40,38",S,I606,27.09.2018,I608,266,8401,"Werbestudio Wölfl",Zahlungsbedingung,"Netto innerhalb v. 30 Tagen"
